Site Number,State,Country,Total_Patients,Total_Randomized_Patients,Total_Randomized_Patients_Jan_To_Jul
43604,MI,USA,0,0,0
43605,NC,USA,4,4,2
43606,IL,USA,1,1,1
43607,PA,USA,4,2,0
43612,PA,USA,5,4,3
43613,IN,USA,3,2,1
43614,IA,USA,0,0,0
43615,DC,USA,0,0,0
43617,TX,USA,1,1,1
43618,OH,USA,1,1,1
43619,IL,USA,0,0,0
43620,LA,USA,0,0,0
43622,SC,USA,3,2,2
43626,FL,USA,13,5,3
43628,PA,USA,2,1,0
43629,NY,USA,7,3,1
43630,TX,USA,2,1,1
43631,NY,USA,0,0,0
43632,MO,USA,4,2,1
43633,VA,USA,4,1,1
43634,CA,USA,4,3,3
43637,IN,USA,1,1,0
43638,CA,USA,3,1,0
43640,CA,USA,5,3,1
43641,OH,USA,0,0,0
43642,RI,USA,3,2,1
43643,CA,USA,2,2,2
43645,LA,USA,2,1,1
43650,IA,USA,0,0,0
43651,MI,USA,5,3,3
43652,TN,USA,2,2,1
43654,MI,USA,0,0,0
43656,VA,USA,5,1,1
43659,PA,USA,4,3,3
43660,MI,USA,1,1,1
43661,CA,USA,2,1,1
43662,TN,USA,2,1,0
43663,NY,USA,5,3,0
43664,GA,USA,9,2,1
43665,TX,USA,0,0,0
43667,IL,USA,0,0,0
43668,AZ,USA,0,0,0
43669,CA,USA,9,1,1
43671,IN,USA,0,0,0
43672,FL,USA,3,2,2
43673,CA,USA,5,3,2
43674,NY,USA,4,1,1
43675,NY,USA,4,2,2
43677,SC,USA,18,8,8
43679,OH,USA,1,0,0
43680,KY,USA,0,0,0
43682,TN,USA,2,2,1
43683,MA,USA,1,0,0
43684,NY,USA,0,0,0
43685,TX,USA,8,5,4
43686,FL,USA,1,1,1
43688,MD,USA,2,1,1
43689,NE,USA,0,0,0
43690,WA,USA,4,3,2
43691,WI,USA,0,0,0
43692,WI,USA,0,0,0
43695,CA,USA,7,3,2
43696,IN,USA,0,0,0
43698,FL,USA,9,8,6
